ZONE_FROM_CATEGORY;ZONE_FROM_NAME;ZONE_TO_CATEGORY;ZONE_TO_NAME;DOOR_CATEGORY;помещение;производитель;заполнение;замок
"Места общего пользования
--------
Технические помещения";"коридор
--------
Тамбур";"Жилые помещения
--------
Нежилые помещения";"Холл
--------
Прихожая
--------
Апартамент
";1;*;*;*;*
"Места общего пользования
--------
Нежилые помещения
--------
Лестницы";"Лифтовый холл
--------
Тамбур
--------
Тамбур-шлюз";"Места общего пользования
--------
Нежилые помещения
--------
Лестницы";"коридор
--------
Тамбур
--------
Холл";2;*;*;Остеклённая;*
Места общего пользования;лифтовый холл;Лестницы;"Лестница-ЛА-1
--------
Лестница-ЛА-2
--------
Лестница-ЛБ-1
--------
Лестница-ЛБ-2
--------
Лестница-ЛВ-1
--------
Лестница-ЛВ-2";3;*;*;*;*
Места общего пользования;"лифтовый холл
--------
Коридор";"Места общего пользования
--------
Технические помещения";"ПСМ
--------
Помещение ВК, ТС";4;*;*;*;*
Места общего пользования;Коридор;Технические помещения;"Техническое помещение
--------
Помещение ТС";5;*;*;*;*
Места общего пользования;"лифтовый холл
--------
Коридор";"Места общего пользования
--------
Технические помещения
--------
Нежилые помещения";"Помещение ЭОМ
--------
Помещение ЭОМ, СС";6;*;*;*;*
Места общего пользования;"лифтовый холл
--------
Коридор";*;*;7;Шкаф;*;Вент. решётка;*
"Места общего пользования
--------
Нежилые помещения";"лифтовый холл
--------
Коридор
--------
офис";*;*;8;Шкаф;*;*;*
Технические помещения;"ПомещениеЭОМ
--------
Помещение ЭОМ СС";*;*;9;Шкаф;*;*;*
Места общего пользования;Лифтовый холл;*;*;10;*;*;*;Цилиндр ГОСТ 53780-2010
Нежилые помещения;"холл
--------
Офис
--------
Коридор";Нежилые помещения;"с/у мужской
--------
с/у женский
--------
с/у МГН
--------
ПСМ
--------
ПУИ
--------
Помещение ТС/ХС";11;*;*;*;*
Нежилые помещения;холл;Нежилые помещения;ПУИ;12;*;*;*;*
Нежилые помещения;холл;Нежилые помещения;"Помещение СС
--------
Помещение ЭОМ";13;*;*;*;*
"Нежилые помещения
--------
Лестницы";"Коридор
--------
Лифтовый холл";Нежилые помещения;Офис;14;*;*;Остеклённая;*
*;*;*;*;15;*;СЕРИЯ 5.904-4;*;*
"Технические помещения
--------
Места общего пользования";"Лифтовый холл
--------
ПИК зона 1
--------
ПИК зона 2
--------
ПИК зона 3
--------
ПИК зона 4
--------
ПИК зона 5
--------
ПИК зона 6
--------
ПИК зона 7
--------
ПИК зона 8
--------
ПИК зона 9
--------
ПИК зона 10
--------
Тамбур-шлюз";Технические помещения;"Помещение ЭОМ
--------
Помещение ЭОМ, СС
--------
Помещение СС, ЭОМ
--------
Помещение ЭОМ СС";16;*;*;*;*
"Технические помещения
--------
Нежилые помещения";"ПИК
--------
Тамбур-шлюз
--------
Лифтовый холл
--------
Коридор
--------
Тамбур-шлюз (вертолетная площадка)
--------
ПИК зона 1
--------
ПИК зона 2
--------
ПИК зона 3
--------
ПИК зона 4
--------
ПИК зона 5
--------
ПИК зона 6
--------
ПИК зона 7
--------
ПИК зона 8
--------
ПИК зона 9
--------
ПИК зона 10
--------
ПИК 1
--------
ПИК 2
--------
ПИК 3
--------
ПИК 4
--------
ПИК 5
--------
ПИК 6
--------
ПИК 7
--------
ПИК 8
--------
ПИК 9
--------
ПИК 10";Технические помещения;"Венткамера ПД
--------
Венткамера ОВ/ПД
--------
Венткамера ДУ
--------
ИТП
--------
ИТП зона 1
--------
ИТП зона 2
--------
ИТП зона 3
--------
ИТП зона 4
--------
ИТП зона 5
--------
ИТП зона 6
--------
ИТП зона 7
--------
Помещение АУПТВПВ
--------
Тамбур
--------
Тамбур-шлюз
--------
Помещение ХС
--------
Помещение ТС, ХС
--------
Хладоцентр
--------
венткамера (офисы)
--------
насосная, хранение и дозирование пенообразователя (вертолетная площадка)
--------
узловая КСК (офисы)
--------
электрощитовая (офисы)
--------
венткамера (офисы)
--------
помещение СС (офисы)
--------
помещение СБ/СПЗ (офисы)
--------
помещение СС
--------
помещение СБ/СПЗ
--------
Венткамера
--------
Узловая КСК
--------
узловая КСК АПТВПВ
--------
венткамера приточная зона 1
--------
венткамера приточная зона 2
--------
венткамера приточная зона 3
--------
венткамера приточная зона 4
--------
венткамера приточная зона 5
--------
венткамера приточная зона 6
--------
венткамера приточная зона 7";17;*;*;*;*
"Технические помещения
--------
Места общего пользования";"ПИК
--------
Лифтовый холл
--------
Тамбур-шлюз
--------
ПИК зона 1
--------
ПИК зона 2
--------
ПИК зона 3
--------
ПИК зона 4
--------
ПИК зона 5
--------
ПИК зона 6
--------
ПИК зона 7
--------
ПИК зона 8
--------
ПИК зона 9
--------
ПИК зона 10
--------
ПИК 1
--------
ПИК 2
--------
ПИК 3
--------
ПИК 4
--------
ПИК 5
--------
ПИК 6
--------
ПИК 7
--------
ПИК 8
--------
ПИК 9
--------
ПИК 10";Технические помещения;"Помещение СС
--------
Помещение СБ/СПЗ
--------
ПУО
--------
Электрощитовая
--------
Помещение ВК, ТС
--------
Машинное помещение МП1
--------
Машинное помещение МП2
--------
Машинное помещение МП3
--------
Машинное помещение МП4
--------
Машинное помещение МП5
--------
Машинное помещение МП6
--------
Машинное помещение МП7
--------
Машинное помещение МП8
--------
Машинное помещение
--------
Тамбур
--------
СУМС
--------
Венткамера ОВ
--------
ГРЩ
--------
ВРУ
--------
Венткамера
--------
Вытяжная веннткамера";18;*;*;*;*
"Технические помещения
--------
Места общего пользования";"Тамбур
--------
Тамбур-шлюз";Технические помещения;"Помещение ТС
--------
Помещение ВК";19;*;*;*;*
"Технические помещения
--------
Места общзего пользования
--------
Нежилые помещения";"лифтовый холл
--------
тамбур-шлюз (вертолетная площадка)
--------
Тамбур-шлюз
--------
ПИК зона 1
--------
ПИК зона 2
--------
ПИК зона 3
--------
ПИК зона 4
--------
ПИК зона 5
--------
ПИК зона 6
--------
ПИК зона 7
--------
ПИК зона 8
--------
ПИК зона 9
--------
ПИК зона 10";"Лестницы
--------
Технические помещения";"Лестница-ЛА-1
--------
Лестница-ЛА-2
--------
Лестница-ЛБ-1
--------
Лестница-ЛБ-2
--------
Лестница-ЛВ-1
--------
Лестница-ЛВ-2
--------
Тамбур-шлюз
--------
Тамбур
--------
ПИК
--------
Венткамера ОВ/ДУ
--------
ПИК зона 1
--------
ПИК зона 2
--------
ПИК зона 3
--------
ПИК зона 4
--------
ПИК зона 5
--------
ПИК зона 6
--------
ПИК зона 7
--------
ПИК зона 8
--------
ПИК зона 9
--------
ПИК зона 10
--------
ПИК 1
--------
ПИК 2
--------
ПИК 3
--------
ПИК 4
--------
ПИК 5
--------
ПИК 6
--------
ПИК 7
--------
ПИК 8
--------
ПИК 9
--------
ПИК 10
--------
венткамера приточная зона 1
--------
венткамера приточная зона 2
--------
венткамера приточная зона 3
--------
венткамера приточная зона 4
--------
венткамера приточная зона 5
--------
венткамера приточная зона 6";20;*;*;*;*
"Технические помещения
--------
*";"Тамбур-шлюз
--------
ПИК 1
--------
ПИК 2
--------
ПИК 3
--------
ПИК 4
--------
ПИК 5
--------
ПИК 6
--------
ПИК 7
--------
ПИК 8
--------
ПИК 9
--------
ПИК 10
--------
*";*;*;21;Шкаф;*;*;*
"технические помещения
--------
Места общего пользования
--------
*";"тамбур
--------
*";"Летние помещения
--------
Нет";"терраса
--------
Нет";22;"Кровля
--------
Терраса";*;*;*
"технические помещения
--------
*";"Тамбур-шлюз
--------
*";*;*;23;"Вентшахта
--------
венткаемра";*;*;*
